match_id,date,home_team,away_team,home_goals,away_goals
1,2025-08-08,Gaziantep,Galatasaray,0,3
2,2025-08-09,Samsunspor,Genclerbirligi,2,1
3,2025-08-09,Antalyaspor,Kasimpasa,2,1
4,2025-08-10,Rizespor,Goztep,0,3
5,2025-08-10,Eyupspor,Konyaspor,1,4
6,2025-08-11,Trabzonspor,Kocaelispor,1,0
7,2025-08-15,Galatasaray,Karagumruk,3,0
8,2025-08-16,Kocaelispor,Samsunspor,0,1
9,2025-08-16,Alanyaspor,Rizespor,0,0
10,2025-08-16,Goztep,Fenerbahce,0,0
11,2025-08-17,Genclerbirligi,Antalyaspor,0,1
12,2025-08-17,Konyaspor,Gaziantep,3,0
13,2025-08-17,Besiktas,Eyupspor,2,1
14,2025-08-17,Buyuksehyr,Kayserispor,1,1
15,2025-08-18,Kasimpasa,Trabzonspor,0,1
16,2025-08-22,Karagumruk,Goztep,0,2
17,2025-08-23,Fenerbahce,Kocaelispor,3,1
18,2025-08-23,Gaziantep,Genclerbirligi,2,1
19,2025-08-24,Trabzonspor,Antalyaspor,1,0
20,2025-08-24,Kayserispor,Galatasaray,0,4
21,2025-08-25,Eyupspor,Alanyaspor,2,1
22,2025-08-29,Goztep,Konyaspor,1,1
23,2025-08-30,Kasimpasa,Gaziantep,2,3
24,2025-08-30,Kocaelispor,Kayserispor,1,1
25,2025-08-30,Antalyaspor,Karagumruk,1,2
26,2025-08-30,Galatasaray,Rizespor,3,1
27,2025-08-31,Buyuksehyr,Eyupspor,0,0
28,2025-08-31,Genclerbirligi,Fenerbahce,1,3
29,2025-08-31,Alanyaspor,Besiktas,2,0
30,2025-08-31,Trabzonspor,Samsunspor,1,1
31,2025-09-13,Eyupspor,Galatasaray,0,2
32,2025-09-13,Karagumruk,Kasimpasa,0,1
33,2025-09-13,Samsunspor,Antalyaspor,1,2
34,2025-09-13,Besiktas,Buyuksehyr,2,1
35,2025-09-13,Konyaspor,Alanyaspor,1,2
36,2025-09-14,Kayserispor,Goztep,1,1
37,2025-09-14,Fenerbahce,Trabzonspor,1,0
38,2025-09-14,Gaziantep,Kocaelispor,2,0
39,2025-09-15,Rizespor,Genclerbirligi,1,0
40,2025-09-17,Fenerbahce,Alanyaspor,2,2
41,2025-09-17,Karagumruk,Buyuksehyr,0,2
42,2025-09-17,Samsunspor,Kasimpasa,0,0
43,2025-09-19,Goztep,Besiktas,3,0
44,2025-09-20,Genclerbirligi,Eyupspor,1,0
45,2025-09-20,Antalyaspor,Kayserispor,1,1
46,2025-09-20,Trabzonspor,Gaziantep,1,1
47,2025-09-21,Buyuksehyr,Alanyaspor,1,1
48,2025-09-21,Kocaelispor,Rizespor,1,1
49,2025-09-21,Kasimpasa,Fenerbahce,1,1
50,2025-09-21,Samsunspor,Karagumruk,3,2
51,2025-09-22,Galatasaray,Konyaspor,3,1
52,2025-09-24,Kayserispor,Besiktas,0,4
53,2025-09-26,Alanyaspor,Galatasaray,0,1
54,2025-09-27,Eyupspor,Goztep,0,0
55,2025-09-27,Gaziantep,Samsunspor,2,2
56,2025-09-27,Karagumruk,Trabzonspor,3,4
57,2025-09-28,Konyaspor,Buyuksehyr,2,1
58,2025-09-28,Rizespor,Kasimpasa,1,2
59,2025-09-28,Fenerbahce,Antalyaspor,2,0
60,2025-09-28,Kayserispor,Genclerbirligi,1,1
61,2025-09-29,Besiktas,Kocaelispor,3,1
62,2025-10-03,Antalyaspor,Rizespor,2,5
63,2025-10-03,Trabzonspor,Kayserispor,4,0
64,2025-10-04,Genclerbirligi,Alanyaspor,2,2
65,2025-10-04,Kocaelispor,Eyupspor,1,0
66,2025-10-04,Galatasaray,Besiktas,1,1
67,2025-10-05,Kasimpasa,Konyaspor,1,1
68,2025-10-05,Karagumruk,Gaziantep,0,2
69,2025-10-05,Goztep,Buyuksehyr,1,0
70,2025-10-05,Samsunspor,Fenerbahce,0,0
71,2025-10-18,Konyaspor,Kocaelispor,2,3
72,2025-10-18,Besiktas,Genclerbirligi,1,2
73,2025-10-18,Rizespor,Trabzonspor,1,2
74,2025-10-18,Buyuksehyr,Galatasaray,1,2
75,2025-10-19,Kayserispor,Samsunspor,1,3
76,2025-10-19,Alanyaspor,Goztep,1,0
77,2025-10-19,Gaziantep,Antalyaspor,3,2
78,2025-10-19,Fenerbahce,Karagumruk,2,1
79,2025-10-20,Eyupspor,Kasimpasa,2,0
80,2025-10-22,Konyaspor,Besiktas,0,2
81,2025-10-22,Rizespor,Buyuksehyr,0,0
82,2025-10-24,Karagumruk,Kayserispor,2,2
83,2025-10-25,Kocaelispor,Alanyaspor,2,0
84,2025-10-25,Trabzonspor,Eyupspor,2,0
85,2025-10-26,Antalyaspor,Buyuksehyr,0,4
86,2025-10-26,Galatasaray,Goztep,3,1
87,2025-10-26,Genclerbirligi,Konyaspor,1,2
88,2025-10-26,Kasimpasa,Besiktas,1,1
89,2025-10-27,Gaziantep,Fenerbahce,0,4
90,2025-10-27,Samsunspor,Rizespor,1,1
91,2025-10-31,Buyuksehyr,Kocaelispor,1,0
92,2025-11-01,Goztep,Genclerbirligi,1,0
93,2025-11-01,Galatasaray,Trabzonspor,0,0
94,2025-11-02,Konyaspor,Samsunspor,1,3
95,2025-11-02,Kayserispor,Kasimpasa,3,2
96,2025-11-02,Besiktas,Fenerbahce,2,3
97,2025-11-03,Alanyaspor,Gaziantep,0,0
98,2025-11-03,Eyupspor,Antalyaspor,0,1
99,2025-11-03,Rizespor,Karagumruk,1,0
100,2025-11-07,Genclerbirligi,Buyuksehyr,2,1
101,2025-11-08,Gaziantep,Rizespor,2,2
102,2025-11-08,Trabzonspor,Alanyaspor,1,1
103,2025-11-08,Antalyaspor,Besiktas,1,3
104,2025-11-08,Kasimpasa,Goztep,0,2
105,2025-11-09,Karagumruk,Konyaspor,2,0
106,2025-11-09,Kocaelispor,Galatasaray,1,0
107,2025-11-09,Fenerbahce,Kayserispor,4,2
108,2025-11-09,Samsunspor,Eyupspor,1,0
109,2025-11-22,Kayserispor,Gaziantep,0,3
110,2025-11-22,Eyupspor,Karagumruk,1,1
111,2025-11-22,Galatasaray,Genclerbirligi,3,2
112,2025-11-23,Goztep,Kocaelispor,0,0
113,2025-11-23,Alanyaspor,Kasimpasa,1,2
114,2025-11-23,Besiktas,Samsunspor,1,1
115,2025-11-23,Rizespor,Fenerbahce,2,5
116,2025-11-24,Buyuksehyr,Trabzonspor,3,4
117,2025-11-24,Konyaspor,Antalyaspor,0,0
118,2025-11-28,Kocaelispor,Genclerbirligi,1,0
119,2025-11-29,Rizespor,Kayserispor,0,1
120,2025-11-29,Gaziantep,Eyupspor,1,2
121,2025-11-29,Kasimpasa,Buyuksehyr,1,3
122,2025-11-29,Trabzonspor,Konyaspor,3,1
123,2025-11-30,Antalyaspor,Goztep,1,2
124,2025-11-30,Karagumruk,Besiktas,0,2
125,2025-12-01,Fenerbahce,Galatasaray,1,1
126,2025-12-01,Samsunspor,Alanyaspor,1,1
127,2025-12-05,Galatasaray,Samsunspor,3,2
128,2025-12-06,Eyupspor,Kayserispor,1,1
129,2025-12-06,Konyaspor,Rizespor,1,1
130,2025-12-06,Buyuksehyr,Fenerbahce,1,1
131,2025-12-07,Genclerbirligi,Karagumruk,3,0
132,2025-12-07,Kocaelispor,Kasimpasa,0,0
133,2025-12-07,Goztep,Trabzonspor,1,2
134,2025-12-08,Alanyaspor,Antalyaspor,0,0
135,2025-12-08,Besiktas,Gaziantep,2,2
136,2025-12-12,Kasimpasa,Genclerbirligi,0,0
137,2025-12-13,Rizespor,Eyupspor,3,0
138,2025-12-13,Kayserispor,Alanyaspor,0,0
